0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
3479.0,6026.0,9620.0,13760.0,16404.0,16478.0,13718.0,9596.0,5575.0,2693.0,1166.0,391.0,123.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3609.0,6060.0,9792.0,13620.0,16224.0,16157.0,13692.0,9629.0,5676.0,2712.0,1235.0,457.0,123.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3737.0,6147.0,9747.0,13658.0,16021.0,16014.0,13455.0,9748.0,5662.0,2823.0,1261.0,509.0,138.0,36.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3837.0,6266.0,9750.0,13568.0,15892.0,15833.0,13333.0,9697.0,5808.0,2873.0,1315.0,528.0,153.0,42.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3974.0,6386.0,9788.0,13410.0,15716.0,15675.0,13305.0,9662.0,5813.0,2978.0,1389.0,549.0,170.0,41.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4083.0,6405.0,9863.0,13423.0,15496.0,15633.0,13057.0,9707.0,5860.0,3076.0,1418.0,564.0,187.0,52.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4184.0,6486.0,9893.0,13348.0,15268.0,15488.0,13081.0,9588.0,6032.0,3118.0,1441.0,583.0,199.0,58.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4300.0,6625.0,9762.0,13305.0,15146.0,15220.0,13080.0,9564.0,6073.0,3191.0,1506.0,630.0,206.0,71.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4395.0,6707.0,9807.0,13208.0,14988.0,15165.0,12902.0,9553.0,6072.0,3307.0,1566.0,655.0,213.0,82.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4735.0,6847.0,9936.0,12776.0,14741.0,14949.0,12751.0,9376.0,6142.0,3544.0,1634.0,718.0,275.0,101.0,25.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5018.0,7093.0,9854.0,12692.0,14490.0,14480.0,12446.0,9537.0,6171.0,3583.0,1881.0,753.0,314.0,125.0,31.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5224.0,7359.0,9834.0,12640.0,14227.0,14004.0,12412.0,9372.0,6312.0,3686.0,1952.0,858.0,352.0,130.0,42.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5642.0,7256.0,9900.0,12475.0,13824.0,13884.0,12042.0,9588.0,6251.0,3793.0,2094.0,939.0,388.0,135.0,55.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5898.0,7519.0,9781.0,12273.0,13729.0,13612.0,11970.0,9301.0,6372.0,3908.0,2161.0,1025.0,444.0,172.0,54.0,17.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5996.0,7587.0,9987.0,12021.0,13400.0,13430.0,11758.0,9301.0,6414.0,3961.0,2247.0,1143.0,469.0,200.0,73.0,24.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
